                    List of relations
 Schema |             Name             | Type  |  Owner   
--------+------------------------------+-------+----------
 public | __EFMigrationsHistory        | table | postgres
 public | accounts                     | table | postgres
 public | approval_limits              | table | postgres
 public | audit_log                    | table | postgres
 public | bank_accounts                | table | postgres
 public | bank_reconciliation_items    | table | postgres
 public | bank_reconciliations         | table | postgres
 public | cash_bank_transfers          | table | postgres
 public | cash_book_entries            | table | postgres
 public | cost_layers                  | table | postgres
 public | credit_applications          | table | postgres
 public | customer_accounts            | table | postgres
 public | customer_balance_adjustments | table | postgres
 public | customer_credits             | table | postgres
 public | customer_deposits            | table | postgres
 public | customer_groups              | table | postgres
 public | customer_payments            | table | postgres
 public | customers                    | table | postgres
 public | data_integrity_log           | table | postgres
 public | delivery_items               | table | postgres
 public | delivery_orders              | table | postgres
 public | delivery_proof               | table | postgres
 public | delivery_routes              | table | postgres
 public | delivery_status_history      | table | postgres
 public | deposit_applications         | table | postgres
 public | discount_authorizations      | table | postgres
 public | discount_rules               | table | postgres
 public | discounts                    | table | postgres
 public | expense_approvals            | table | postgres
 public | expense_categories           | table | postgres
 public | expense_documents            | table | postgres
 public | expenses                     | table | postgres
 public | failed_transactions          | table | postgres
 public | financial_periods            | table | postgres
 public | goods_receipt_items          | table | postgres
 public | goods_receipts               | table | postgres
 public | inventory_batches            | table | postgres
 public | inventory_snapshots          | table | postgres
 public | invoice_line_items           | table | postgres
 public | invoice_payments             | table | postgres
 public | invoice_settings             | table | postgres
 public | invoices                     | table | postgres
 public | journal_entries              | table | postgres
 public | journal_entry_lines          | table | postgres
 public | ledger_entries               | table | postgres
 public | ledger_transactions          | table | postgres
 public | payment_allocations          | table | postgres
 public | payment_lines                | table | postgres
 public | payment_transactions         | table | postgres
 public | pos_customer_deposits        | table | postgres
 public | pos_deposit_applications     | table | postgres
 public | pos_held_order_items         | table | postgres
 public | pos_held_orders              | table | postgres
 public | pricing_tiers                | table | postgres
 public | processed_events             | table | postgres
 public | product_uoms                 | table | postgres
 public | products                     | table | postgres
 public | purchase_order_items         | table | postgres
 public | purchase_orders              | table | postgres
 public | quotation_attachments        | table | postgres
 public | quotation_emails             | table | postgres
 public | quotation_items              | table | postgres
 public | quotation_status_history     | table | postgres
 public | quotations                   | table | postgres
 public | report_runs                  | table | postgres
 public | route_deliveries             | table | postgres
 public | sale_discounts               | table | postgres
 public | sale_items                   | table | postgres
 public | sales                        | table | postgres
 public | stock_count_lines            | table | postgres
 public | stock_counts                 | table | postgres
 public | stock_movements              | table | postgres
 public | supplier_invoice_line_items  | table | postgres
 public | supplier_invoices            | table | postgres
 public | supplier_payment_allocations | table | postgres
 public | supplier_payments            | table | postgres
 public | suppliers                    | table | postgres
 public | system_settings              | table | postgres
 public | uoms                         | table | postgres
 public | user_sessions                | table | postgres
 public | users                        | table | postgres
(81 rows)

